Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
79.110.62.125-169.231.114.116-40128-60003-6,79.110.62.125,40128,169.231.114.116,60003,6,2024-12-12 07:18:13.988634,57,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35087.71929824561,57.0,0.0,57.0,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,20,17543.859649122805,17543.859649122805,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,0,0,20,0,0,0,0,0,0,0,0,-1,-1,57,NeedManualLabel
193.105.210.6-169.231.114.116-24256-8080-6,193.105.210.6,24256,169.231.114.116,8080,6,2024-12-12 07:18:13.860457,55,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36363.63636363636,55.0,0.0,55.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,20,18181.81818181818,18181.81818181818,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2920,0,0,40,0,0,0,0,0,0,0,0,-1,-1,55,NeedManualLabel
193.105.210.6-169.231.114.116-24282-8080-6,193.105.210.6,24282,169.231.114.116,8080,6,2024-12-12 07:18:13.924740,106,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18867.924528301886,106.0,0.0,106.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,20,9433.962264150943,9433.962264150943,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2920,0,0,40,0,0,0,0,0,0,0,0,-1,-1,106,NeedManualLabel
146.70.52.120-169.231.114.116-41447-8080-6,146.70.52.120,41447,169.231.114.116,8080,6,2024-12-12 07:18:13.893611,68,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29411.764705882353,68.0,0.0,68.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,20,14705.882352941177,14705.882352941177,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096,0,0,32,0,0,0,0,0,0,0,0,-1,-1,68,NeedManualLabel
167.99.140.100-169.231.114.116-52604-8080-6,167.99.140.100,52604,169.231.114.116,8080,6,2024-12-12 07:18:13.927768,61,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32786.88524590164,61.0,0.0,61.0,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,20,16393.44262295082,16393.44262295082,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,0,0,40,0,0,0,0,0,0,0,0,-1,-1,61,NeedManualLabel
45.94.4.232-169.231.114.116-47012-8080-6,45.94.4.232,47012,169.231.114.116,8080,6,2024-12-12 07:18:13.962683,98,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20408.163265306124,98.0,0.0,98.0,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,20,10204.081632653062,10204.081632653062,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,0,0,40,0,0,0,0,0,0,0,0,-1,-1,98,NeedManualLabel
142.250.72.170-169.231.114.116-443-52621-6,142.250.72.170,443,169.231.114.116,52621,6,2024-12-12 07:18:14.004999,479,1,1,117.0,0.0,117.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,244258.872651357,4175.365344467641,479.0,0.0,479.0,479.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,32,2087.6826722338205,2087.6826722338205,0.0,117.0,58.5,82.73149339882606,6844.5,0,0,0,1,2,0,0,0,1.0,58.5,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050,2048,0,32,0,0,0,0,0,0,0,0,-1,-1,479,NeedManualLabel
146.70.52.120-169.231.114.116-43553-8080-6,146.70.52.120,43553,169.231.114.116,8080,6,2024-12-12 07:18:13.978078,60,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33333.333333333336,60.0,0.0,60.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,20,16666.666666666668,16666.666666666668,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096,0,0,32,0,0,0,0,0,0,0,0,-1,-1,60,NeedManualLabel
146.70.52.120-169.231.114.116-35584-8080-6,146.70.52.120,35584,169.231.114.116,8080,6,2024-12-12 07:18:13.887897,71,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28169.014084507042,71.0,0.0,71.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,20,14084.507042253521,14084.507042253521,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096,0,0,32,0,0,0,0,0,0,0,0,-1,-1,71,NeedManualLabel
156.146.41.76-169.231.114.116-36482-8080-6,156.146.41.76,36482,169.231.114.116,8080,6,2024-12-12 07:18:13.889533,80,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24999.999999999996,80.0,0.0,80.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,20,12499.999999999998,12499.999999999998,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2920,0,0,40,0,0,0,0,0,0,0,0,-1,-1,80,NeedManualLabel
